rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
2401,dsl_auto_type,0.2.0,10945201,lib,40.85,42.68,0.957,both_built
2402,objc-foundation,0.1.1,10943086,lib,5.09,0,0,baseline_failed
2403,alloy-consensus,2.0.1,10937196,lib,45.54,27.52,1.655,both_built
2404,keyring,4.0.0,10907968,,,,,not_run
2405,tree-sitter-language,0.1.7,10905717,lib,6.31,0.35,18.029,both_built
2406,libp2p-tls,0.6.2,10899309,lib,148.72,82.09,1.812,both_built
2407,solana-frozen-abi-macro,3.3.0,10894791,lib,69.47,88.44,0.786,both_built
2408,ws_stream_wasm,0.7.5,10883069,lib,84.19,73.71,1.142,both_built
2409,walrus,0.26.1,10878458,lib,93.62,122.82,0.762,both_built
2410,typewit,1.15.2,10871623,lib,3.06,1.61,1.901,both_built
2411,solana-frozen-abi,3.3.0,10869982,lib,184.69,122.78,1.504,both_built
2412,libp2p-quic,0.13.0,10841057,lib,223.01,135.2,1.649,both_built
2413,salvo,0.92.2,10822786,lib,134.7,145.48,0.926,both_built
2414,guppy,0.17.25,10812430,lib,48.75,44.78,1.089,both_built
2415,intrusive-collections,0.10.0,10807336,lib,7.58,3.39,2.236,both_built
2416,bcrypt,0.19.0,10799612,lib,9.64,15.21,0.634,both_built
2417,spl-token-2022,10.0.0,10799107,,,,,not_run
2418,memory-db,0.34.0,10797155,lib,7.61,19.86,0.383,both_built
2419,libz-ng-sys,1.1.28,10777713,lib,30.42,23.42,1.299,both_built
2420,static_init_macro,1.0.4,10748347,lib,16.47,15.12,1.089,both_built
2421,asn1,0.24.1,10744539,lib,11.44,4.34,2.636,both_built
2422,static_init,1.0.4,10740300,lib,18.66,14.23,1.311,both_built
2423,ammonia,3.3.1,10736081,lib,61.0,49.91,1.222,both_built
2424,wild,2.2.1,10729570,lib,4.73,0.19,24.895,both_built
2425,content_inspector,0.2.4,10727823,lib,2.5,1.58,1.582,both_built
2426,asn1_derive,0.24.1,10723518,lib,8.22,7.29,1.128,both_built
2427,vswhom-sys,0.1.3,10722557,lib,5.57,1.92,2.901,both_built
2428,unicode-vo,0.1.0,10719497,lib,1.96,0.27,7.259,both_built
2429,tantivy-tokenizer-api,0.7.0,10702299,lib,35.48,52.11,0.681,both_built
2430,alloy-eip7702,0.6.3,10692083,lib,20.53,41.42,0.496,both_built
2431,python3-dll-a,0.2.15,10670194,lib,3.06,0.3,10.2,both_built
2432,webkit2gtk-sys,2.0.2,10661233,lib,119.27,79.03,1.509,both_built
2433,git2-curl,0.21.0,10642413,lib,118.38,68.95,1.717,both_built
2434,tantivy-stacker,0.7.0,10632175,lib,62.01,136.52,0.454,both_built
